set,s11a,s22a,s33a,s11m,s22m,s33m,t12a,t13a,t23a,t12m,t13m,t23m,fi11,fi22,fi33,fi12,fi13,fi23,Rm,Re,f-1,f0,b-1,b0,rb-1,t-1,t0
Native,0,0,0,0,0,0,329.1630183,0,0,275.8,0,0,0,0,0,0,0,0,843.9,731.5,632.5104333,771.7156041,541.832385,1028.5,0,365.1800689,553.4641552
Native,221,0,0,0,0,0,110.5,0,0,0,0,0,0,0,0,0,0,0,815,516,275,392,0,0,0,249,414.4713376
Native,221,0,0,0,0,0,110.5,0,0,0,0,0,0,0,0,90,0,0,815,516,275,392,0,0,0,249,414.4713376
Native,225,0,0,0,0,0,112.5,0,0,225,0,0,0,0,0,180,0,0,815,516,275,392,0,0,0,249,414.4713376
Native,271,0,0,-135.5,0,0,135.5,0,0,135.5,0,0,0,0,0,180,0,0,815,516,275,392,0,0,0,249,414.4713376
Native,225,218.3062038,13.21854078,274.5,266.3335686,-16.12661975,0,0,0,0,0,0,0,60,60,0,0,0,710,550,343,530,0,0,0,204,350
Native,190,184.347461,11.16232333,231.8,224.9039024,-13.61803446,0,0,0,0,0,0,0,180,180,0,0,0,710,550,343,530,0,0,0,204,350
Native,205,198.9012079,12.04355938,250.1,242.6594736,-14.69314244,96.4,0,0,0,0,0,0,0,0,0,0,0,710,550,343,530,0,0,0,204,350
Native,175,169.7937141,10.28108727,213.5,207.1483312,-12.54292647,82.3,0,0,0,0,0,0,180,180,0,0,0,710,550,343,530,0,0,0,204,350
Native,195,189.19871,11.45606868,237.9,230.8224261,-13.97640379,91.7,0,0,91.7,0,0,0,0,0,90,0,0,710,550,343,530,0,0,0,204,350
Native,180,174.644963,10.57483262,219.6,213.0668549,-12.9012958,84.6,0,0,84.6,0,0,0,180,180,90,0,0,710,550,343,530,0,0,0,204,350
Native,192,186.2879606,11.27982147,234.2,227.2325019,-13.75903223,90.2,0,0,90.2,0,0,0,60,60,90,0,0,710,550,343,530,0,0,0,204,350
